"","personas_a_cargo","ingresos_fijos","cuota_credito","gastos_sostenimiento","activos","pasivos","monto_desembolso","cuota_mensual","score","saldo_capital","saldo_vencido","dias_mora","edad","nivel_estudios","estado_civil","genero","tipo_vivienda","tiempo_residencia","estrato","actividad_economica","tipo_contrato","ocupacion","tiempo_actividad","plazo","tasa","lugar_nacimiento","mora_franja","region","cuota_credito_bin","activos_bin","pasivos_bin"
"genero",0.00174693013299652,0.0540551086180384,0.00837092372488349,0.00945633426463033,0.00429816043909069,0.00676837624190646,0.0135414065203798,0.000853970698536625,0.0301152259366255,0.00148019951247434,0.012693928276098,0.00692333912862054,0.0638538010327588,0.0312912965633437,0.0826454326435658,1,0.0325217134053379,0.0226016035279749,0.0100849559316514,0.0557608895037795,0.0361688459634089,0.0620204325756013,0.021849243813146,0.0235547694042428,0.00926888563068542,0.0127474009192825,0.0328424378017393,0.0147754003759108,0.00746215126434322,0.004470024054861,0.00762733743932631
"tipo_vivienda",0.101262163282406,0.207790761957602,0.0416629953841088,0.089239167360841,0.0988296709071197,0.0367177267989311,0.087749659200302,0.0341390257874211,0.127009479362876,0.0289413705941415,0.0311405311823584,0.0164193491920338,0.253681007272027,0.100702459512712,0.103201892904745,0.0325217134053379,1,0.193846688354901,0.113583984045005,0.114632224638129,0.0680137141169192,0.0858855242517789,0.179656330148145,0.0513550506556681,0.0516502074908893,0.0161955224671688,0.0220349378158246,0.0927460148497546,0.0434601398980988,0.0596464707434523,0.0212290700160723
"tiempo_residencia",0.0461742181780221,0.156256517781354,0.0714818064692984,0.151589302506172,0.0450218799615405,0.0812710140705433,0.0978162289165555,0.0233548198459554,0.086638252008201,0.0239707123136399,0.0378692454045449,0.0260588068633537,0.225492204034736,0.0709250907378366,0.0552568936831451,0.0226016035279749,0.193846688354901,1,0.0916568931197248,0.151663267522635,0.0712200125614226,0.102210917477788,0.227806425825351,0.0327017691459148,0.0560082148599664,0.0275868524288995,0.0315406714258757,0.101955895819344,0.0640926109612106,0.0570026083710611,0.0934020077410056
"estrato",0.0777424226264539,0.285441926105196,0.118159846906861,0.13219564687345,0.244320115596353,0.155454656838699,0.123055727536183,0.0338881245492952,0.108515883793805,0.0353255860525221,0.0529002919939906,0.0364010599090787,0.111573236318167,0.15753088039545,0.0659557458965443,0.0100849559316514,0.113583984045005,0.0916568931197248,1,0.140737176673657,0.105492902391965,0.11266208855892,0.110488274733715,0.036984977079759,0.0836917637929329,0.0187409385583663,0.0297298008332592,0.12775705772564,0.127330304572779,0.231278510172357,0.15724603297866
"actividad_economica",0.046445096152218,0.268716503812251,0.160406979046357,0.177481658538319,0.242159848473014,0.163587600685238,0.0879664020914986,0.0569994816418695,0.105323106352626,0.112772963186984,0.0610766345544548,0.0297615811205417,0.304087878619701,0.0716123288977431,0.108234731702041,0.0557608895037795,0.114632224638129,0.151663267522635,0.140737176673657,1,0.409054853134117,0.731885437851716,0.156658521073775,0.0407280462124857,0.0654460698595244,0.0270871545007248,0.0314488117894816,0.140204071683518,0.167157530445644,0.248821131366101,0.187940804754978
"tipo_contrato",0.0425975238788002,0.18358762281647,0.172856963258333,0.0748710555443842,0.156910455800545,0.0730842913169293,0.0423487292320436,0.0204043637414539,0.108746555705811,0.0590277641446489,0.0650636099136827,0.0316619499825856,0.330646708976349,0.0598126520989348,0.122915648736561,0.0361688459634089,0.0680137141169192,0.0712200125614226,0.105492902391965,0.409054853134117,1,0.572478239827413,0.11015638570592,0.0442630412835991,0.0625132378217224,0.0145042593012914,0.0406908496413285,0.122025244368863,0.159619352360378,0.153677593309716,0.0595859752767485
"ocupacion",0.0454262139967933,0.220467880696793,0.102983856011635,0.132558230014389,0.126298467210365,0.038809464495533,0.0649947571162502,0.0122429417010018,0.135602324964663,0.11542671534228,0.0814220839682209,0.0299634506905716,0.394714856413173,0.0835025555507835,0.136999045732816,0.0620204325756013,0.0858855242517789,0.102210917477788,0.11266208855892,0.731885437851716,0.572478239827413,1,0.155231806234053,0.0543275149906596,0.0420077845456686,0.0128862847428444,0.0482483417190029,0.129765371187663,0.104482273987893,0.131426294930631,0.0451921755936497
"tiempo_actividad",0.0515542356959875,0.205504419940716,0.03684198735481,0.0698177801807962,0.0655582603848313,0.0553989803456396,0.197795385337107,0.0142065948148732,0.27906694197669,0.0195399773134903,0.047441588798738,0.0353055418062756,0.623844935707357,0.0965304842018425,0.15480434910773,0.021849243813146,0.179656330148145,0.227806425825351,0.110488274733715,0.156658521073775,0.11015638570592,0.155231806234053,1,0.0618604024324285,0.0862593986311621,0.0229748605115183,0.0316358734176623,0.0579339187411038,0.0373689180393537,0.0306228187921281,0.0649034656256402
"plazo",0.0243835855203553,0.0815121003820848,0.049036509332317,0.030780631303064,0.0520426795835656,0.0299544299006454,0.381836415255032,0.109203510124262,0.26456835254957,0.460150424694862,0.202052609904812,0.0995566997054871,0.116889807729082,0.0538826105948439,0.0454569681352529,0.0235547694042428,0.0513550506556681,0.0327017691459148,0.036984977079759,0.0407280462124857,0.0442630412835991,0.0543275149906596,0.0618604024324285,1,0.410289819203849,0.0227589124223497,0.0920727387482181,0.0564933505633049,0.0414121755597212,0.0445732615221712,0.0256294402908171
"tasa",0.0158595267008452,0.0568578122455169,0.0302760934062149,0.0141413260445071,0.0366925285675537,0.0167111183060808,0.0752572972757934,0.265752838550189,0.230127034526505,0.149251337063949,0.145621170624865,0.101153673636795,0.0903454515079339,0.0678330308375458,0.0262205325697583,0.00926888563068542,0.0516502074908893,0.0560082148599664,0.0836917637929329,0.0654460698595244,0.0625132378217224,0.0420077845456686,0.0862593986311621,0.410289819203849,1,0.0247771394981232,0.117382609618937,0.0707709285005604,0.0257958017557973,0.030294395678008,0.0309995000125508
"lugar_nacimiento",0.00861915350853783,0.0282771388303511,0.0204796489540738,0.0166710929917248,0.00841519139175917,0.00261513778897893,0.0308518910820639,0.0201106340883471,0.0591776265823594,0.0123492805505533,0.0122857855383172,0.0208401301834321,0.040367257717335,0.0270703387028963,0.0163777096183459,0.0127474009192825,0.0161955224671688,0.0275868524288995,0.0187409385583663,0.0270871545007248,0.0145042593012914,0.0128862847428444,0.0229748605115183,0.0227589124223497,0.0247771394981232,1,0.0197034004415556,0.0182463513461894,0.0205844870108619,0.00893902835650602,0.00484633734683696
"mora_franja",0.016318297283731,0.033592663788729,0.0214257140487732,0.030266303978829,0.0313543044398351,0.0282451911121088,0.131527160365672,0.0686506925139894,0.207559482203417,0.51702351581046,0.838575586484875,0.968155877066563,0.0648234489185886,0.0357468909002701,0.0333328327423772,0.0328424378017393,0.0220349378158246,0.0315406714258757,0.0297298008332592,0.0314488117894816,0.0406908496413285,0.0482483417190029,0.0316358734176623,0.0920727387482181,0.117382609618937,0.0197034004415556,1,0.0396918798056032,0.0209161018104256,0.0277061621278738,0.0260879632224564
"region",0.0324638317139127,0.164188012279895,0.107636104476512,0.0906190793323306,0.410857173882435,0.184854379265907,0.0552899708508325,0.0512809094410997,0.132322976791332,0.0818494192390046,0.0755545902520627,0.0506231660271682,0.0536995219463829,0.0743354316416503,0.0791194031678124,0.0147754003759108,0.0927460148497546,0.101955895819344,0.12775705772564,0.140204071683518,0.122025244368863,0.129765371187663,0.0579339187411038,0.0564933505633049,0.0707709285005604,0.0182463513461894,0.0396918798056032,1,0.103817347540036,0.410791029160038,0.189007740422986
"cuota_credito_bin",0.0613947630535187,0.123549886885119,0.967546189946304,0.0727134328420337,0.0637216744189834,0.45551288195915,0.0351951971556918,0.0043049617370513,0.0477914096270919,0.00126122085555902,0.00695112072222268,0.00620626512185536,0.0138880560765429,0.105492136359468,0.0379309270492697,0.00746215126434322,0.0434601398980988,0.0640926109612106,0.127330304572779,0.167157530445644,0.159619352360378,0.104482273987893,0.0373689180393537,0.0414121755597212,0.0257958017557973,0.0205844870108619,0.0209161018104256,0.103817347540036,1,0.0642855715863339,0.470407075758755
"activos_bin",0.0102829121709695,0.0202690498458998,0.0677094951252961,0.0518674845570562,0.990811476019854,0.344104031833038,0.0660075730219832,0.0118115505361503,0.0660410898075166,0.0148911106569571,0.0206104370855225,0.0207978224457009,0.0337815719865262,0.103284175881744,0.0401729733767875,0.004470024054861,0.0596464707434523,0.0570026083710611,0.231278510172357,0.248821131366101,0.153677593309716,0.131426294930631,0.0306228187921281,0.0445732615221712,0.030294395678008,0.00893902835650602,0.0277061621278738,0.410791029160038,0.0642855715863339,1,0.356041924398894
"pasivos_bin",0.0516569517668624,0.0450135063870599,0.475925524107191,0.0992311708671354,0.347965268280487,0.967661210334463,0.0251644693191121,0.00157625706603527,0.0542389932380214,0.0205516386660294,0.027831068832462,0.021903584779175,0.0126523067710643,0.149819255125766,0.0408270053438014,0.00762733743932631,0.0212290700160723,0.0934020077410056,0.15724603297866,0.187940804754978,0.0595859752767485,0.0451921755936497,0.0649034656256402,0.0256294402908171,0.0309995000125508,0.00484633734683696,0.0260879632224564,0.189007740422986,0.470407075758755,0.356041924398894,1
